,s,t,m,k,a
2022-01-01 00:00:00,-40.11569035,-120.37371,-34.58815368,-22.83049315,-5.536416308
2022-01-01 01:00:00,-40.03966487,-118.8425448,-34.10388487,-22.56223916,-5.510296723
2022-01-01 02:00:00,-39.46257904,-121.4140239,-34.9640115,-22.98933555,-5.507329803
2022-01-01 03:00:00,-40.10414953,-120.3178371,-34.67618868,-22.76785136,-5.429757019
2022-01-01 04:00:00,-41.31598485,-120.283115,-34.6162904,-22.78622648,-5.478081283
2022-01-01 05:00:00,-43.72759862,-122.5464856,-35.16565945,-23.26599882,-5.683169093
2022-01-01 06:00:00,-48.19431442,-126.6569447,-36.3222199,-24.05787163,-5.896761677
2022-01-01 07:00:00,-52.12246294,-129.6975176,-37.08938805,-24.68781184,-6.143117809
2022-01-01 08:00:00,-54.37534974,-133.4055453,-38.30201332,-25.31750844,-6.16650178
2022-01-01 09:00:00,-56.06815454,-132.1114852,-38.06455153,-25.00488598,-5.972610213
2022-01-01 10:00:00,-55.49009696,-128.6926629,-37.22726191,-24.28392333,-5.670292377
2022-01-01 11:00:00,-55.40265871,-127.1162474,-36.76612565,-23.98901965,-5.605956828
2022-01-01 12:00:00,-55.70399382,-131.2405457,-38.09601149,-24.69884281,-5.650837063
2022-01-01 13:00:00,-55.78905189,-128.7045579,-37.21552332,-24.29375765,-5.685995991
2022-01-01 14:00:00,-57.19404018,-133.0311154,-38.61629446,-25.03555789,-5.727410659
2022-01-01 15:00:00,-59.88281548,-133.8734259,-38.39061902,-25.4291658,-6.233856293
2022-01-01 16:00:00,-60.3177313,-132.3946013,-37.77028195,-25.24639278,-6.361251805
2022-01-01 17:00:00,-59.57575496,-127.7614627,-36.39601577,-24.38914633,-6.19113845
2022-01-01 18:00:00,-56.91838593,-127.6144865,-36.60018044,-24.23807195,-5.937981732
2022-01-01 19:00:00,-53.96825286,-128.3727646,-36.92304056,-24.32940126,-5.867880981
2022-01-01 20:00:00,-52.43436928,-126.58397,-36.29781159,-24.04575086,-5.896845068
2022-01-01 21:00:00,-48.23521962,-121.1764997,-34.700825,-23.04175405,-5.691341551
2022-01-01 22:00:00,-43.58959271,-119.8948637,-34.40465789,-22.76262561,-5.560296662
2022-01-01 23:00:00,-41.63735906,-120.0106585,-34.48686988,-22.76011788,-5.516682938
2022-01-02 00:00:00,-41.28953501,-120.3677752,-34.59798001,-22.82360173,-5.524611728
2022-01-02 01:00:00,-40.78318064,-117.5883474,-33.74380217,-22.32421472,-5.45231364
2022-01-02 02:00:00,-40.58148017,-121.4449775,-35.00316405,-22.98007715,-5.478495127
2022-01-02 03:00:00,-41.40394813,-120.9084653,-34.7948462,-22.90539865,-5.507975552
2022-01-02 04:00:00,-43.88055842,-123.370831,-35.53950641,-23.35385714,-5.58410394
2022-01-02 05:00:00,-53.2414425,-130.0633249,-37.40403849,-24.65242239,-5.95040315
2022-01-02 06:00:00,-73.15476633,-166.96265,-48.83562795,-31.23640269,-6.818588716
2022-01-02 07:00:00,-84.05680652,-240.1045826,-71.44933519,-44.31019328,-8.585525687
2022-01-02 08:00:00,-88.04616354,-282.5944908,-83.82275907,-52.28678408,-10.37540454
2022-01-02 09:00:00,-90.11096259,-283.6606774,-83.5421359,-52.7824912,-11.01142325
2022-01-02 10:00:00,-88.69286023,-289.1578386,-85.59244897,-53.58972172,-10.79349723
2022-01-02 11:00:00,-88.47104002,-279.485399,-82.40150592,-51.96104672,-10.76029376
2022-01-02 12:00:00,-88.53769044,-289.8314664,-85.95504954,-53.63296404,-10.65543927
