,Asuminen,Palvelut,t
2022-01-01 00:00:00,488.2406363106064,1575.0471703312307,-2063.287806641837
2022-01-01 01:00:00,501.3352127633813,1570.5211727153367,-2071.856385478718
2022-01-01 02:00:00,506.94717410028477,1706.3011011921667,-2213.2482752924516
2022-01-01 03:00:00,546.2309034586094,1860.1850201325742,-2406.415923591184
2022-01-01 04:00:00,671.5647066494548,2362.5707554968467,-3034.1354621463015
2022-01-01 05:00:00,954.0334272735986,2208.6868365564387,-3162.7202638300373
2022-01-01 06:00:00,931.5855819259845,2226.790827020016,-3158.3764089460005
2022-01-01 07:00:00,875.4659685569494,2181.530850861073,-3056.9968194180224
2022-01-01 08:00:00,897.9138139045634,2068.380910463714,-2966.2947243682775
2022-01-01 09:00:00,888.5605450097243,1991.4389509935102,-2879.9994960032345
2022-01-01 10:00:00,866.1126996621102,2000.4909462252992,-2866.6036458874096
2022-01-01 11:00:00,843.6648543144961,1891.8670034438346,-2735.5318577583307
2022-01-01 12:00:00,839.9235467565604,1860.1850201325742,-2700.1085668891346
2022-01-01 13:00:00,821.2170089668821,1823.9770392054197,-2645.194048172302
2022-01-01 14:00:00,819.3463551879141,1869.2370153643633,-2688.5833705522773
2022-01-01 15:00:00,828.6996240827533,1882.815008212046,-2711.5146322947994
2022-01-01 16:00:00,862.3713921041744,1955.2309700663557,-2817.60236217053
2022-01-01 17:00:00,888.5605450097243,1923.5489867550953,-2812.1095317648196
2022-01-01 18:00:00,899.7844676835313,1900.9189986756237,-2800.703466359155
2022-01-01 19:00:00,892.3018525676599,1873.7630129802574,-2766.064865547917
2022-01-01 20:00:00,864.2420458831423,1842.081029668997,-2706.323075552139
2022-01-01 21:00:00,791.2865485033965,1665.5671226491177,-2456.853671152514
2022-01-01 22:00:00,712.7190897867473,1511.6832037087102,-2224.4022934954573
2022-01-01 23:00:00,509.5432658224529,1462.0880311060382,-1971.631296928491
2022-01-02 00:00:00,575.7852493200529,1805.2577390713782,-2381.042988391431
2022-01-02 01:00:00,573.7790289391469,1815.1225354597464,-2388.9015643988932
2022-01-02 02:00:00,569.7665881773347,1889.1085083725077,-2458.8750965498425
2022-01-02 03:00:00,591.8350123673018,1933.5000921201643,-2525.335104487466
2022-01-02 04:00:00,720.2331167452927,2441.5371061211263,-3161.770222866419
2022-01-02 05:00:00,1121.4771929265144,2367.5511332083647,-3489.028326134879
2022-01-02 06:00:00,1037.215936928458,2337.95674404326,-3375.1726809717184
2022-01-02 07:00:00,914.8364936931853,2209.7143909944734,-3124.5508846876587
2022-01-02 08:00:00,926.8738159786218,2120.93122349916,-3047.8050394777815
2022-01-02 09:00:00,908.817832550467,2032.1480560038462,-2940.965888554313
2022-01-02 10:00:00,862.6747637896264,2120.93122349916,-2983.6059872887863
2022-01-02 11:00:00,890.761849122312,2002.5536668387417,-2893.3155159610537
2022-01-02 12:00:00,872.705865694157,1982.8240740620054,-2855.529939756162
2022-01-02 13:00:00,860.6685434087203,1977.891675867821,-2838.5602192765414
2022-01-02 14:00:00,850.6374415041898,2032.1480560038462,-2882.7854975080363
2022-01-02 15:00:00,866.6872045514388,2037.0804541980306,-2903.7676587494693
2022-01-02 16:00:00,880.7307472177814,2101.201630722424,-2981.9323779402052
2022-01-02 17:00:00,928.8800363595279,2101.201630722424,-3030.0816670819518
2022-01-02 18:00:00,920.8551548359036,2115.998825304976,-3036.8539801408797
2022-01-02 19:00:00,938.9111382640585,2106.134028916608,-3045.0451671806663
2022-01-02 20:00:00,922.8613752168097,2145.59321447008,-3068.45458968689
2022-01-02 21:00:00,870.6996453132508,1972.9592776736374,-2843.6589229868882
2022-01-02 22:00:00,832.5814580760349,1889.1085083725077,-2721.6899664485427
2022-01-02 23:00:00,614.3417581746454,1787.8510802559276,-2402.192838430573
2022-01-03 00:00:00,584.9155440545852,1811.627102410795,-2396.54264646538
2022-01-03 01:00:00,582.8775108000397,1844.6658945520257,-2427.5434053520653
2022-01-03 02:00:00,578.8014442909484,1982.3275284738183,-2561.128972764767
2022-01-03 03:00:00,601.21981009095,2037.3921820425355,-2638.6119921334857
2022-01-03 04:00:00,731.653938381868,2455.8835491647865,-3187.5374875466546
2022-01-03 05:00:00,1139.2605892909864,2868.868450930165,-4008.1290402211516
2022-01-03 06:00:00,1053.6631926000719,2923.933104498882,-3977.596297098954
2022-01-03 07:00:00,929.3431640727905,2852.3490548595496,-3781.69221893234
2022-01-03 08:00:00,941.571363600064,2703.6744902240134,-3645.2458538240776
2022-01-03 09:00:00,923.2290643091537,2554.9999255884773,-3478.228989897631
2022-01-03 10:00:00,876.354299454605,2505.4417373766314,-3381.7960368312365
2022-01-03 11:00:00,904.8867650182434,2384.299499525454,-3289.1862645436972
2022-01-03 12:00:00,886.544465727333,2318.221915242993,-3204.766380970326
2022-01-03 13:00:00,874.3162662000595,2290.6895884586347,-3165.0058546586943
2022-01-03 14:00:00,864.1260999273316,2318.221915242993,-3182.3480151703243
2022-01-03 15:00:00,880.4303659636963,2290.6895884586347,-3171.119954422331
2022-01-03 16:00:00,894.6965987455154,2345.7542420273517,-3240.450840772867
2022-01-03 17:00:00,943.6093968546097,2296.1960538155067,-3239.8054506701164
2022-01-03 18:00:00,935.4572638364273,2268.663727031148,-3204.1209908675755
2022-01-03 19:00:00,953.7995631273377,2158.5344198937137,-3112.3339830210516
2022-01-03 20:00:00,937.4952970909729,2108.9762316818683,-3046.4715287728413
2022-01-03 21:00:00,884.5064324727875,2097.9633009681247,-2982.469733440912
2022-01-03 22:00:00,845.7838006364212,1866.6917559795124,-2712.475556615934
2022-01-03 23:00:00,626.8051491110537,1775.5550593215428,-2402.3602084325967
2022-01-04 00:00:00,578.7046741270487,1799.7610862698539,-2378.4657603969026
2022-01-04 01:00:00,576.6882815342716,1826.9478096274047,-2403.636091161676
2022-01-04 02:00:00,572.6554963487173,1962.8814264151579,-2535.5369227638753
2022-01-04 03:00:00,594.8358148692661,2000.9428391157287,-2595.778653984995
2022-01-04 04:00:00,723.8849408070054,2419.618378822009,-3143.5033196290146
2022-01-04 05:00:00,1127.1634593624399,2860.04329721433,-3987.2067565767697
2022-01-04 06:00:00,1042.4749704657986,2903.5420545864113,-3946.0170250522096
2022-01-04 07:00:00,919.4750223063911,2876.3553312288605,-3795.8303535352516
2022-01-04 08:00:00,931.573377863054,2669.736233711475,-3601.3096115745293
2022-01-04 09:00:00,913.4258445280595,2533.802616923722,-3447.228461451781
2022-01-04 10:00:00,867.0488148941845,2468.554480865601,-3335.6032957597854
2022-01-04 11:00:00,895.278311193065,2354.3702427638877,-3249.6485539569526
2022-01-04 12:00:00,877.1307778580704,2267.3727280197254,-3144.5035058777958
2022-01-04 13:00:00,865.0324223014075,2267.3727280197254,-3132.405150321133
2022-01-04 14:00:00,854.9504593375216,2321.746174734827,-3176.6966340723484
2022-01-04 15:00:00,871.081600079739,2267.3727280197254,-3138.4543280994644
